"행정구역","2026년06월_계_총인구수","2026년06월_계_연령구간인구수","2026년06월_계_0세","2026년06월_계_1세","2026년06월_계_2세","2026년06월_계_3세","2026년06월_계_4세","2026년06월_계_5세","2026년06월_남_총인구수","2026년06월_남_연령구간인구수","2026년06월_남_0세","2026년06월_남_1세","2026년06월_남_2세","2026년06월_남_3세","2026년06월_남_4세","2026년06월_남_5세","2026년06월_여_총인구수","2026년06월_여_연령구간인구수","2026년06월_여_0세","2026년06월_여_1세","2026년06월_여_2세","2026년06월_여_3세","2026년06월_여_4세","2026년06월_여_5세"
"서울특별시  (1100000000)","9,289,813","248,533","47,447","41,798","37,057","38,917","40,473","42,841","4,471,801","127,354","24,308","21,420","18,946","19,881","20,752","22,047","4,818,012","121,179","23,139","20,378","18,111","19,036","19,721","20,794"
"서울특별시 종로구 (1111000000)","136,318","2,667","454","451","399","422","481","460","65,255","1,386","230","242","208","215","256","235","71,063","1,281","224","209","191","207","225","225"
"서울특별시 종로구 청운효자동(1111051500)","10,682","245","39","36","45","31","43","51","4,837","124","18","18","25","15","21","27","5,845","121","21","18","20","16","22","24"
"서울특별시 종로구 사직동(1111053000)","8,874","190","17","34","24","40","40","35","3,917","98","9","17","11","22","20","19","4,957","92","8","17","13","18","20","16"
"서울특별시 종로구 삼청동(1111054000)","2,048","36","8","5","4","5","7","7","966","19","4","4","0","3","5","3","1,082","17","4","1","4","2","2","4"
"서울특별시 종로구 부암동(1111055000)","8,868","153","19","32","18","27","32","25","4,141","89","11","23","12","13","16","14","4,727","64","8","9","6","14","16","11"
"서울특별시 종로구 평창동(1111056000)","16,938","443","66","77","53","73","79","95","7,800","229","33","43","30","33","45","45","9,138","214","33","34","23","40","34","50"
"서울특별시 종로구 무악동(1111057000)","7,694","248","33","39","40","43","48","45","3,535","132","15","21","19","25","25","27","4,159","116","18","18","21","18","23","18"
"서울특별시 종로구 교남동(1111058000)","9,473","333","57","49","56","49","60","62","4,287","162","25","21","34","20","28","34","5,186","171","32","28","22","29","32","28"
"서울특별시 종로구 가회동(1111060000)","3,532","62","9","10","11","9","11","12","1,638","38","6","6","5","6","7","8","1,894","24","3","4","6","3","4","4"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,625","94","24","12","18","13","15","12","3,994","51","11","7","13","6","11","3","2,631","43","13","5","5","7","4","9"
"서울특별시 종로구 종로5.6가동(1111063000)","5,388","59","20","9","10","5","9","6","2,768","28","6","7","5","3","5","2","2,620","31","14","2","5","2","4","4"
"서울특별시 종로구 이화동(1111064000)","7,061","74","12","9","16","12","16","9","3,260","32","7","3","5","9","6","2","3,801","42","5","6","11","3","10","7"
"서울특별시 종로구 혜화동(1111065000)","15,719","211","46","32","27","38","42","26","7,491","113","29","17","13","25","21","8","8,228","98","17","15","14","13","21","18"
"서울특별시 종로구 창신제1동(1111067000)","4,372","67","12","13","12","11","13","6","2,290","35","8","6","1","7","9","4","2,082","32","4","7","11","4","4","2"
